ID,AgeRange,PriorCareerLevel,CareerLevel
1,51 - 60,3,5
2,26 - 30,1,8
3,31 - 40,5,8
4,41 - 50,7,8
5,26 - 30,1,9
6,51 - 60,7,9
7,31 - 40,1,9
8,26 - 30,3,8
