Semester,Recipients,Amount
Fall 2015,54,108362
Spg 2016,90,183904
Sum 2016,74,140810
Fall 2016,152,304932
Spg 2017,137,312681
Sum 2017,63,115409
Fall 2017,38,64067
Spg 2018,25,44832
Sum 2018,18,33822
Fall 2018,25,47242
