Role type,Average hourly wage,Average annual salary,n,Percent of role types
Assistant teacher,$11.03,"$22,140",124,15%
Lead teacher,$12.99,"$35,883",249,29%
Other,$15.23,"$35,206",135,16%
Director/Owner,$16.22,"$34,457",289,34%
Program administrator,$18.76,"$37,180",55,6%
